Item Type,Product,Rate,Units
Finials,H4019 Finials,799,Per Pair
Finials,CR2007 Finials,799,Per Pair
Finials,CRE2011 Finials,599,Per Pair
Finials,H045 Finials,1667,Per Pair
Finials,HBS4049 Finials,2002,Per Pair
Finials,HBS2003 Finials,575,Per Pair
Finials,Oval Rosewood Finials,350,Per Pair
Finials,Oval Walnut Finials,350,Per Pair
Finials,Halfcone Rosewood Finials,350,Per Pair
Finials,Halfcone Walnut Finials,350,Per Pair
Double Bracket,Delac Track Double Bracket,350,Per Pc
Double Bracket,Easy Track Double Bracket,350,Per Pc
Double Bracket,Easy Track Heavy Double Bracket,450,Per Pc
Double Bracket,M Track Double Bracket,125,Per Pc
Double Bracket,Nexty Track Double Bracket,571,Per Pc
Double Bracket,KS Track White Double Bracket,900,Per Pc
Double Bracket,KS Track Brown Double Bracket,1000,Per Pc
Double Bracket,KS Track Black Double Bracket,1000,Per Pc
Double Bracket,Elan Rod  Double Bracket,300,Per Pc
Double Bracket,Antq Brass Rod  Double Bracket,625,Per Pc
Runner,Delac Track,21,Per Pc
Runner,Easy Track,26,Per Pc
Runner,Easy Track Heavy,26,Per Pc
Runner,M Track,5,Per Pc
Runner,Nexty Track,31,Per Pc
Runner,KS Track White,23,Per Pc
Runner,KS Track Brown,23,Per Pc
Runner,KS Track Black,23,Per Pc
Rings,Elan Rod Steel (L),35,Per Pc
Rings,Elan Rod Steel,48,Per Pc
Rings,Antq Brass Rod ,50,Per Pc
